company_name,sector,source,scraped_at
SAP,Information Technology,STOXX DAX components page,2026-05-08T12:10:47+00:00
SIEMENS,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
ALLIANZ,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
DEUTSCHE TELEKOM,Telecomunication,STOXX DAX components page,2026-05-08T12:10:47+00:00
SIEMENS ENERGY,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
AIRBUS,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
RHEINMETALL,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
MUENCHENER RUECK,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
INFINEON TECHNOLOGIES,Information Technology,STOXX DAX components page,2026-05-08T12:10:47+00:00
DEUTSCHE BANK,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
DEUTSCHE BOERSE,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
DEUTSCHE POST,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
E.ON,Utilities,STOXX DAX components page,2026-05-08T12:10:47+00:00
BASF,Basic Materials,STOXX DAX components page,2026-05-08T12:10:47+00:00
RWE,Utilities,STOXX DAX components page,2026-05-08T12:10:47+00:00
BAYER,Pharma and Healthcare,STOXX DAX components page,2026-05-08T12:10:47+00:00
MERCEDES-BENZ GROUP,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
ADIDAS,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
HEIDELBERG MATERIALS,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
DAIMLER TRUCK,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
BMW,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
COMMERZBANK,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
FRESENIUS,Pharma and Healthcare,STOXX DAX components page,2026-05-08T12:10:47+00:00
VOLKSWAGEN PREF,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
MTU AERO ENGINES,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
HANNOVER RUECK,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
Vonovia SE,"Finance, Insurance and Real Estate",STOXX DAX components page,2026-05-08T12:10:47+00:00
SIEMENS HEALTHINEERS,Pharma and Healthcare,STOXX DAX components page,2026-05-08T12:10:47+00:00
MERCK,Pharma and Healthcare,STOXX DAX components page,2026-05-08T12:10:47+00:00
HENKEL PREF,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
SYMRISE,Basic Materials,STOXX DAX components page,2026-05-08T12:10:47+00:00
GEA GRP,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
FRESENIUS MEDICAL CARE,Pharma and Healthcare,STOXX DAX components page,2026-05-08T12:10:47+00:00
QIAGEN,Pharma and Healthcare,STOXX DAX components page,2026-05-08T12:10:47+00:00
BEIERSDORF,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
CONTINENTAL,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
BRENNTAG,Industrials,STOXX DAX components page,2026-05-08T12:10:47+00:00
ZALANDO,Consumer Services,STOXX DAX components page,2026-05-08T12:10:47+00:00
SCOUT24,Consumer Services,STOXX DAX components page,2026-05-08T12:10:47+00:00
PORSCHE AUTOMOBIL HLDG PREF,Consumer Goods,STOXX DAX components page,2026-05-08T12:10:47+00:00
